depth,width,n_params,seed,final_train_acc,final_test_acc,final_train_loss,actual_epochs,flops_per_epoch,optimization_failure,loss_ep10,loss_ep20,loss_ep30,loss_ep60,regime,budget,fixed_w,corruption,param_err_pct
6,47,49219,42,0.954,0.8255,0.13625,31,967260000,False,0.28783,0.17935,0.18371,,iso_param,50000.0,,0.0,1.562
6,47,49219,123,1.0,0.8376,0.00238,109,967260000,False,0.36371,0.22235,0.11275,0.04923,iso_param,50000.0,,0.0,1.562
6,47,49219,7,0.9998,0.8391,0.00277,105,967260000,False,0.29474,0.1672,0.12789,0.02894,iso_param,50000.0,,0.0,1.562
6,47,49219,17,0.9999,0.8335,0.00437,89,967260000,False,0.30195,0.18409,0.13075,0.02111,iso_param,50000.0,,0.0,1.562
6,47,49219,99,1.0,0.8383,0.0031,91,967260000,False,0.30013,0.20248,0.15996,0.01806,iso_param,50000.0,,0.0,1.562
6,47,49219,256,0.9784,0.831,0.05822,58,967260000,False,0.28698,0.24028,0.09432,,iso_param,50000.0,,0.0,1.562
6,47,49219,42,0.993,0.7798,0.04134,120,967260000,False,0.71519,0.59151,0.43245,0.18753,iso_param,50000.0,,0.1,1.562
6,47,49219,123,0.9923,0.7808,0.03906,120,967260000,False,0.70784,0.53404,0.4009,0.12489,iso_param,50000.0,,0.1,1.562
6,47,49219,7,0.9948,0.7855,0.0324,119,967260000,False,0.7198,0.53,0.41757,0.21334,iso_param,50000.0,,0.1,1.562
6,47,49219,17,0.9955,0.7791,0.02924,120,967260000,False,0.71962,0.54235,0.40971,0.16323,iso_param,50000.0,,0.1,1.562
6,47,49219,99,0.9935,0.7738,0.03607,120,967260000,False,0.71493,0.51859,0.43987,0.20902,iso_param,50000.0,,0.1,1.562
6,47,49219,256,0.9918,0.7672,0.03948,120,967260000,False,0.72298,0.56833,0.46066,0.18362,iso_param,50000.0,,0.1,1.562
6,47,49219,42,0.9584,0.6509,0.18006,120,967260000,False,1.32133,1.10211,0.95762,0.54655,iso_param,50000.0,,0.3,1.562
6,47,49219,123,0.9627,0.6498,0.15271,120,967260000,False,1.28326,1.10777,0.96004,0.41099,iso_param,50000.0,,0.3,1.562
6,47,49219,7,0.957,0.6526,0.1692,120,967260000,False,1.26715,1.06683,0.87501,0.46784,iso_param,50000.0,,0.3,1.562
6,47,49219,17,0.9576,0.6665,0.17273,120,967260000,False,1.25236,1.07834,0.94007,0.47448,iso_param,50000.0,,0.3,1.562
6,47,49219,99,0.958,0.6555,0.17231,114,967260000,False,1.2453,1.07617,0.85665,0.52163,iso_param,50000.0,,0.3,1.562
6,47,49219,256,0.9552,0.6436,0.17809,120,967260000,False,1.3085,1.15971,0.95685,0.51202,iso_param,50000.0,,0.3,1.562
6,47,49219,42,0.8875,0.4542,0.4341,120,967260000,False,1.8757,1.68887,1.48278,0.85779,iso_param,50000.0,,0.6,1.562
6,47,49219,123,0.8866,0.4436,0.42043,120,967260000,False,1.86153,1.64258,1.49793,0.81323,iso_param,50000.0,,0.6,1.562
6,47,49219,7,0.8907,0.4501,0.42074,120,967260000,False,1.85099,1.68645,1.47888,0.95155,iso_param,50000.0,,0.6,1.562
6,47,49219,17,0.8875,0.4542,0.426,120,967260000,False,1.84235,1.68175,1.51142,0.8324,iso_param,50000.0,,0.6,1.562
6,47,49219,99,0.8738,0.4459,0.45112,120,967260000,False,1.87193,1.73667,1.50763,0.87327,iso_param,50000.0,,0.6,1.562
6,47,49219,256,0.8857,0.4444,0.43124,120,967260000,False,1.88935,1.69802,1.44771,0.92188,iso_param,50000.0,,0.6,1.562
6,47,49219,42,0.8383,0.1078,0.59212,117,967260000,False,2.19363,2.10182,1.7947,1.06826,iso_param,50000.0,,1.0,1.562
6,47,49219,123,0.8228,0.0973,0.62033,120,967260000,False,2.20928,2.04754,1.82434,1.15966,iso_param,50000.0,,1.0,1.562
6,47,49219,7,0.8353,0.1008,0.59703,120,967260000,False,2.1901,2.08911,1.81395,1.17965,iso_param,50000.0,,1.0,1.562
6,47,49219,17,0.8275,0.1059,0.62302,120,967260000,False,2.1905,2.04495,1.81792,1.12599,iso_param,50000.0,,1.0,1.562
6,47,49219,99,0.8069,0.0979,0.67629,120,967260000,False,2.21228,2.03798,1.841,1.17445,iso_param,50000.0,,1.0,1.562
6,47,49219,256,0.8148,0.0924,0.65077,120,967260000,False,2.20943,2.06008,1.8283,1.16516,iso_param,50000.0,,1.0,1.562
8,44,49554,42,0.9996,0.8365,0.0042,108,969760000,False,0.30203,0.18631,0.14451,0.06414,iso_param,50000.0,,0.0,0.8920000000000001
8,44,49554,123,1.0,0.8388,0.00282,106,969760000,False,0.30753,0.21507,0.17049,0.05413,iso_param,50000.0,,0.0,0.8920000000000001
8,44,49554,7,0.9997,0.8429,0.00325,105,969760000,False,0.31871,0.2295,0.21566,0.02774,iso_param,50000.0,,0.0,0.8920000000000001
8,44,49554,17,0.9996,0.8376,0.00393,109,969760000,False,0.35349,0.2319,0.13041,0.02803,iso_param,50000.0,,0.0,0.8920000000000001
8,44,49554,99,0.9995,0.8377,0.0049,95,969760000,False,0.34411,0.23844,0.16586,0.02913,iso_param,50000.0,,0.0,0.8920000000000001
8,44,49554,256,0.9998,0.8403,0.00317,106,969760000,False,0.34643,0.18978,0.14681,0.03547,iso_param,50000.0,,0.0,0.8920000000000001
8,44,49554,42,0.984,0.7913,0.06709,120,969760000,False,0.7542,0.69637,0.51154,0.2283,iso_param,50000.0,,0.1,0.8920000000000001
8,44,49554,123,0.9881,0.7877,0.05468,119,969760000,False,0.70261,0.57318,0.46476,0.22124,iso_param,50000.0,,0.1,0.8920000000000001
8,44,49554,7,0.9822,0.7849,0.069,120,969760000,False,0.70868,0.61069,0.53145,0.22462,iso_param,50000.0,,0.1,0.8920000000000001
8,44,49554,17,0.9855,0.7835,0.0672,120,969760000,False,0.74189,0.6681,0.59541,0.22925,iso_param,50000.0,,0.1,0.8920000000000001
8,44,49554,99,0.9824,0.7838,0.07224,120,969760000,False,0.72948,0.65046,0.49547,0.2488,iso_param,50000.0,,0.1,0.8920000000000001
8,44,49554,256,0.9887,0.7774,0.05697,120,969760000,False,0.73974,0.60137,0.50052,0.19465,iso_param,50000.0,,0.1,0.8920000000000001
8,44,49554,42,0.9254,0.6832,0.27264,120,969760000,False,1.31722,1.13009,1.16306,0.65162,iso_param,50000.0,,0.3,0.8920000000000001
8,44,49554,123,0.9312,0.6794,0.25478,120,969760000,False,1.31377,1.19063,1.03749,0.60031,iso_param,50000.0,,0.3,0.8920000000000001
8,44,49554,7,0.9309,0.6741,0.26214,120,969760000,False,1.32353,1.17108,0.99991,0.60626,iso_param,50000.0,,0.3,0.8920000000000001
8,44,49554,17,0.9221,0.669,0.28587,120,969760000,False,1.31606,1.1602,0.98112,0.58063,iso_param,50000.0,,0.3,0.8920000000000001
8,44,49554,99,0.9307,0.6734,0.25906,120,969760000,False,1.30337,1.12202,1.01836,0.62695,iso_param,50000.0,,0.3,0.8920000000000001
8,44,49554,256,0.929,0.6758,0.26106,120,969760000,False,1.33219,1.1316,1.03097,0.58601,iso_param,50000.0,,0.3,0.8920000000000001
8,44,49554,42,0.824,0.4779,0.60881,117,969760000,False,1.90445,1.78372,1.62594,1.09189,iso_param,50000.0,,0.6,0.8920000000000001
8,44,49554,123,0.8321,0.473,0.58608,120,969760000,False,1.90053,1.80942,1.58661,1.08598,iso_param,50000.0,,0.6,0.8920000000000001
8,44,49554,7,0.8047,0.4933,0.63906,120,969760000,False,1.90929,1.75946,1.6128,1.10034,iso_param,50000.0,,0.6,0.8920000000000001
8,44,49554,17,0.816,0.4747,0.60971,120,969760000,False,1.87743,1.73336,1.54504,1.06581,iso_param,50000.0,,0.6,0.8920000000000001
8,44,49554,99,0.8163,0.4861,0.6201,120,969760000,False,1.90328,1.80132,1.65838,1.1321,iso_param,50000.0,,0.6,0.8920000000000001
8,44,49554,256,0.8197,0.4774,0.60732,120,969760000,False,1.89594,1.76303,1.59122,1.12199,iso_param,50000.0,,0.6,0.8920000000000001
8,44,49554,42,0.7383,0.1013,0.86661,120,969760000,False,2.25777,2.16058,2.04449,1.52487,iso_param,50000.0,,1.0,0.8920000000000001
8,44,49554,123,0.7564,0.1039,0.81613,120,969760000,False,2.25923,2.16693,2.00765,1.37856,iso_param,50000.0,,1.0,0.8920000000000001
8,44,49554,7,0.74,0.0909,0.86361,120,969760000,False,2.23658,2.13612,1.9853,1.40735,iso_param,50000.0,,1.0,0.8920000000000001
8,44,49554,17,0.7425,0.1049,0.85016,115,969760000,False,2.24695,2.15136,2.02552,1.39979,iso_param,50000.0,,1.0,0.8920000000000001
8,44,49554,99,0.7458,0.1072,0.85838,120,969760000,False,2.2284,2.16044,1.98179,1.43674,iso_param,50000.0,,1.0,0.8920000000000001
8,44,49554,256,0.7266,0.0918,0.89406,120,969760000,False,2.24312,2.14443,2.00514,1.36238,iso_param,50000.0,,1.0,0.8920000000000001
12,39,49111,42,0.9974,0.8319,0.01323,112,953940000,False,0.43471,0.29638,0.20699,0.06961,iso_param,50000.0,,0.0,1.778
12,39,49111,123,0.9979,0.8288,0.01202,109,953940000,False,0.42383,0.29089,0.24023,0.07223,iso_param,50000.0,,0.0,1.778
12,39,49111,7,0.997,0.8393,0.01428,116,953940000,False,0.40513,0.32979,0.31974,0.07254,iso_param,50000.0,,0.0,1.778
12,39,49111,17,0.9978,0.8328,0.01348,114,953940000,False,0.44258,0.30848,0.24806,0.08225,iso_param,50000.0,,0.0,1.778
12,39,49111,99,0.9977,0.8304,0.01256,118,953940000,False,0.4292,0.29702,0.21853,0.05956,iso_param,50000.0,,0.0,1.778
12,39,49111,256,0.9981,0.8323,0.01202,120,953940000,False,0.4211,0.3007,0.30104,0.09945,iso_param,50000.0,,0.0,1.778
12,39,49111,42,0.9516,0.7958,0.17838,120,953940000,False,0.84828,0.74314,0.6463,0.36654,iso_param,50000.0,,0.1,1.778
12,39,49111,123,0.9575,0.7955,0.15605,120,953940000,False,0.79053,0.69006,0.60881,0.34493,iso_param,50000.0,,0.1,1.778
12,39,49111,7,0.9476,0.7959,0.18622,120,953940000,False,0.8408,0.70485,0.68189,0.37381,iso_param,50000.0,,0.1,1.778
12,39,49111,17,0.9471,0.7954,0.19682,120,953940000,False,0.83711,0.68357,0.66738,0.38685,iso_param,50000.0,,0.1,1.778
